actor,side,value_usd_b,value_type,detail,source
FIFA,Winner,8.9,Revenue,Record WC revenue - 56% above Qatar 2022,FIFA Annual Report / Business Standard Jun 2026
TV Broadcasters,Winner,3.92,Rights sold,30-36% increase vs Qatar - North American timezone premium,FIFA Publications / SportsPro Jun 2026
Sponsors (Adidas Coca-Cola Visa Aramco etc),Winner,2.4,Sponsorship sold,Record - nearly sold out entire inventory,Ampere Analysis / SportsPro Jun 2026
NY/NJ Metro Area,Winner,0.8,Economic impact,Host of Final - tourism hub,Various estimates
US Economy (FIFA/WTO projection),Winner,17.2,GDP boost projected,WTO model - $11.1B expenditure + $3.4B taxes + 185k jobs,FIFA/WTO Report Mar 2025 / businesstats.com
Canadian Taxpayers,Loser,1.07,Public spending,PBO confirmed $1.066B for 13 matches = $82M/match,Parliamentary Budget Officer May 2026
City of Vancouver + BC Province,Loser,0.73,Public spending,Budget went from $230M (2023) to $729M (2026) = +217%,BC Government / Business in Vancouver Jun 2026
City of Toronto,Loser,0.38,Public spending,Approved by City Council - $226M operating + $154M capital,BudgetTO 2026
US Host Cities Security,Loser,0.63,Public spending,FEMA $625M security allocation across 11 US cities,FEMA / Front Office Sports
US Hotel Industry,Loser,,Below forecast,80% of hotels below initial forecast - KC 90% down,AHLA May 2026 / IDeaS / Front Office Sports
Fans (ticket affordability),Loser,,Price inflation,Final ticket +273% vs promise / Average ticket ~$1300 vs $60 in 1994,The Conversation / App Economy Insights Jun 2026
Cultural Events (cancelled by FIFA),Loser,,Non-financial,Cities required to cancel/reschedule events - FIFA contract clause,Romain Schue Radio-Canada Enquete Mar 2026
